,Total Cost,,,
4x LED driver (3W),5.08,,https://s.click.aliexpress.com/e/_DdCBRCv,
WEIPU Connector male (WF-16 TE 10pin),22.97,,https://www.elecbee.com/en-47827-10pin-te-male-plug-wf16-straight-plug-with-metal-clamping-nut-waterproof-connector?search=Wf16%20waterproof,
WEIPU Connector female (WF-16 ZM 10pin),,,https://www.elecbee.com/en-47893-round-flange-panel-socket-female-receptacle-zm-10pin-wf16-aviation-waterproof-connector,
WEIPU Connector male (WF-16 TI 10pin),,,https://www.elecbee.com/en-47884-10pin-ti-male-plug-wf16-with-cable-clamping-plates-straight-plug-waterproof-connector,
Charger for 3S Battery,37.99,,https://www.amazon.com/Battery-Balance-Charger-Discharger-Digital/dp/B0F6MP2Q5D/ref=sr_1_8,
Epoxy,17.99,,,https://www.amazon.com/Gallon-Resistant-Crystal-Coating-Casting/dp/B0D264VMQZ/ref=sr_1_1_sspa
M3 Nuts and Bolts,26.86,,,https://www.amazon.com/iExcell-Stainless-Metric-Socket-Washers/dp/B0812TYT5L/ref=sr_1_4
Ethernet dongle for my computer,15.53,,https://www.amazon.com/Anker-Ethernet-PowerExpand-Aluminum-Portable/dp/B08CK9X9Z8/ref=sr_1_3,
CAT6 ethernet cable,28.91,,,https://www.aliexpress.us/item/3256804948964898.html?aff_fcid=1b236dfd05be4b70893ffad50df3ecdd-1789319057195-08607-_DeSxagB&tt=CPS_NORMAL&aff_fsk=_DeSxagB&aff_platform=shareComponent-detail&sk=_DeSxagB&aff_trace_key=1b236dfd05be4b70893ffad50df3ecdd-1789319057195-08607-_DeSxagB&terminal_id=cfae530396944c74a68c23f949e29dae&afSmartRedirect=y&gatewayAdapt=glo2usa
12AWG black silicone cable,9.01,,,https://www.aliexpress.us/item/3256801546041992.html?algo_pvid=46c050dd-d1be-4b6a-a948-e54854ac5ea7&aem_p4p_detail=202307102255489053901670642920000060879&algo_exp_id=46c050dd-d1be-4b6a-a948-e54854ac5ea7-6&pdp_npi=3%40dis%21USD%214.46%213.57%21%21%214.46%21%21%402100b18f16890549484678781d075f%2112000029019902350%21sea%21US%212500224974&curPageLogUid=ldUpIKAgMQDk&search_p4p_id=202307102255489053901670642920000060879_7&aff_fcid=6d108930ef114eef912d19065822103b-1789314752726-02701-_DnEousN&tt=CPS_NORMAL&aff_fsk=_DnEousN&aff_platform=portals-tool&sk=_DnEousN&aff_trace_key=6d108930ef114eef912d19065822103b-1789314752726-02701-_DnEousN&terminal_id=cfae530396944c74a68c23f949e29dae&afSmartRedirect=y&gatewayAdapt=glo2usa
TOTAL:,$594.78,,,
